coder,journal,has_guidance,has_external_guidance,external_guidance_raw,external_guidance_list,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous,has_publisher_guidance,publisher_guidance,overall_rank,field_rank,journal_impact_factor,esi_field,journal_homepage,original_link_stat_guidance,perma_link_stat_guidance,notes,domain
MM/TH,Expert Opinion on Drug Delivery,TRUE,TRUE,CONSORT; ICMJE,"consort, icmje",TRUE,FALSE,TRUE,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",TRUE,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",FALSE,NA,FALSE,NA,TRUE,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Any data not included in the analysis (including patients withdrawn from the study) should be detailed.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,1307,11,5.553,PHARMACOLOGY & TOXICOLOGY,https://www.tandfonline.com/loi/iedd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=inan21,https://perma.cc/3WZD-6MKB,"This page refers to ICMJE guidelines (see under ""Clinical Trials Registry""). It looks like this guideline includes statistical guidance of some sort",Health sciences
MM/TH,MOVEMENT DISORDERS,TRUE,TRUE,EQUATOR; CONSORT; STROBE; STARD; PRISMAA,"equator, consort, strobe, stard, prisma",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,988,13,8.324,NEUROSCIENCE & BEHAVIOR,https://onlinelibrary.wiley.com/journal/15318257,https://onlinelibrary.wiley.com/page/journal/15318257/homepage/forauthors.html,https://perma.cc/24DW-LVPY,"This page refers to external guidelines, see under ""Reporting Guidelines""",Life sciences
MM/TH,NEUROLOGY,TRUE,TRUE,"CONSORT; STROBE; STREGA; PRISMA, STARD, STROND","consort, strobe, strega, prisma, stard, strond",TRUE,TRUE,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis.",TRUE,"The Journals follow the guidelines outlined by authorities in the genetics research field (Neurology 2001 57:1153-1154 and Nature Genetics 2005:1217-1223). Calculations of statistical significance must make appropriate corrections for multiple testing. After such correction, the (experiment-wise) significance level must not exceed 0.01 and should preferably be smaller than that limit.",FALSE,NA,FALSE,NA,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis. The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.


In the Results section of the manuscript, the following evidence-based medicine statistics must be included for the manuscript to be forwarded for editorial review:

Confidence intervals",TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals",TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis. 

The Journals follow the guidelines outlined by authorities in the genetics research field (Neurology 2001 57:1153-1154 and Nature Genetics 2005:1217-1223). Calculations of statistical significance must make appropriate corrections for multiple testing. After such correction, the (experiment-wise) significance level must not exceed 0.01 and should preferably be smaller than that limit.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.",FALSE,NA,FALSE,NA,56,3,8.055,NEUROSCIENCE & BEHAVIOR,https://www.neurology.org/,https://www.neurology.org/research-policies-and-guidelines,https://perma.cc/QU6K-AMGC,"See under ""Statistics"" and ""Genetic Studies""",Life sciences
MM/TH,BRAIN,TRUE,TRUE,CONSORT; STROBE; ARRIVE; The statistical guidelines advocated by the International Committee of Medical Journal Editors (Ann Intern Med 1988; 108: 266-73) should be followed.,"consort, strobe, arrive, icmje",TRUE,TRUE,TRUE,"For results of statistical tests, authors should report the statistical test that was applied (e.g. two-sample t-test, analysis of covariance), the test statistic (e.g. t, U, F, r), degrees of freedom as subscripts to the test statistic (Lazic, 2010), and the exact probability value (P). Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",TRUE,"Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",FALSE,NA,TRUE,"Details of a priori sample size calculations should be presented (including power to be achieved, alpha, the source of means and standard deviations involved in the calculation, and effect size). This is important because a statistical result is more likely to be a false positive or false negative result when the study has low power (Button et al., 2013). Pseudo-replication should be minimized at the design stage (Lazic, 2010).

Post hoc power tests are discouraged.",TRUE,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",TRUE,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Statistical analysis’ and describe procedures used to evaluate fit of the model to the data, such as goodness-of-fit tests, inspection of residuals, or tests of model assumptions.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",TRUE,"Authors are expected to apply the most appropriate statistical tools for data analysis, and it is acceptable to present results from frequentist, information-theory, and Bayesian approaches in the same manuscript.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,2,1,10.848,NEUROSCIENCE & BEHAVIOR,https://academic.oup.com/brain,https://academic.oup.com/brain/pages/General_Instructions,https://perma.cc/BXD3-UJ6S,"See under ""Statistical analyses""",Life sciences
MSH/TH,Lancet Respiratory Medicine,TRUE,TRUE,ICMJE recommendations; CONSORT 2010 guidelines; CONSORT extended guidelines; STARD guidelines; STROBE statement; STREGA guidelines; PRISMA guidelines; GATHER statement; MIAME guidelines,"icmje, consort, consort extended guidelines, stard, strobe, strega, prisma, gather, miame",TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0·0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",FALSE,NA,TRUE,"We encourage researchers to enrol women and ethnic groups into clinical trials of all phases, and to plan to analyse data by sex and by race.; Separate reporting of data by demographic variables, such as age and sex, facilitates pooling of data for subgroups across studies and should be routine, unless inappropriate. Discuss the influence or association of variables, such as sex and/or gender, on your findings, where appropriate, and the limitations of the data.",FALSE,NA,TRUE,"When reporting Kaplan-Meier survival data, at each timepoint, authors must include numbers at risk, and are encouraged to include the number of censored patients.",FALSE,NA,FALSE,NA,TRUE,"Therefore, all Reviews should include a brief section entitled “Search strategy and selection criteria” stating the sources (including databases, MeSH and free text search terms and filters, and reference lists from journals or books) of the material covered, and the criteria used to include or exclude studies.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported,TRUE,"From July 1, 2018, all submitted reports of clinical trials must
contain a data sharing statement, to be included at the end of the
manuscript. Data sharing statements must indicate...Whether additional, related documents will be available (eg, study protocol, statistical analysis plan, informed consent form);",FALSE,NA,FALSE,NA,318,2,21.466,CLINICAL MEDICINE,https://www.thelancet.com/journals/lanres/home,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Lancet/authors/tlrm-info-for-authors-1573836180133.pdf,https://perma.cc/D36K-4KEU,This document refers to CONSORT guidelines,Health sciences
MM/TH,SCIENCE,TRUE,TRUE,"ICMJE, CONSORT, ARRIVE, MIBBI collection (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2771753/), NLM collection (https://www.nlm.nih.gov/services/research_report_guide.html)","icmje, consort, arrive, mibbi, nlm research reporting guidelines and initiatives (https://www.nlm.nih.gov/services/research_report_guide.html)",TRUE,TRUE,TRUE,"Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",TRUE,"
The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant",FALSE,NA,FALSE,NA,TRUE,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.
Methods used for conducting statistical tests (e.g., t-test, Wilcoxon signed rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio-based interval) should be clearly stated.",TRUE,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",TRUE,"Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Sufficient information should be supplied to allow readers to judge whether any assumptions necessary for the validity of statistical approaches (e.g., data are normally distributed, survival data are consistent with proportional hazards in a Cox regression model) have been verified.",TRUE,"Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"An accounting of missing data values should be provided; if imputed data values are used in statistical analyses, the methods used for imputation should be fully described.",TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.",TRUE,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",FALSE,NA,TRUE,"If the analysis plan was preregistered in an independent institutional registry, authors should provide a link to the registration of the analysis plan upon submission of the paper to a Science Journal.",FALSE,NA,FALSE,NA,94,1,41.058,Multidisciplinary,https://www.sciencemag.org/,https://www.sciencemag.org/authors/science-journals-editorial-policies?_ga=2.242917122.1257786745.1574679130-305362327.1560494424,https://perma.cc/B4Q7-RFTJ,"See under ""Statistical Analysis""",Multidisciplinary
MM/TH,PLoS Pathogens,TRUE,TRUE,"EQUATOR, STROBE, CONSORT, TREND, MIAME, PRISMA, STARD","equator, strobe, consort, trend, miame, prisma, stard",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,403,11,6.158,MICROBIOLOGY,https://journals.plos.org/plospathogens/,https://journals.plos.org/plospathogens/s/best-practices-in-research-reporting,https://perma.cc/6R5J-67GM,This page refers to external guidelines,Life sciences
MM/TH,mSystems,TRUE,TRUE,"""For a review of some common errors associated with statistical analyses and reports, plus guidelines on how to avoid them, see these 2003 and 2014 articles by Olsen. For a review of basic statistical considerations for virology experiments, see the article by Richardson and Overbaugh"" [papers preserved here: Link 1: https://perma.cc/37SH-3RQL ; Link 2: https://perma.cc/U8JV-VRG3 ; Link 3: https://perma.cc/H4TB-955H]","Olsen 2003 (10.1128/iai.71.12.6689-6692.2003), Olsen 2014 (10.1128/iai.00811-13), Richardson & Overbaugh 2005 (10.1128/jvi.79.2.669-676.2005)",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,170,5,5.75,MICROBIOLOGY,https://msystems.asm.org,Link 1: https://iai.asm.org/content/71/12/6689.full ; Link 2: https://iai.asm.org/content/82/3/916.full ; Link 3: https://jvi.asm.org/content/79/2/669,Link 1: https://perma.cc/37SH-3RQL ; Link 2: https://perma.cc/U8JV-VRG3 ; Link 3: https://perma.cc/H4TB-955H,"See OSF Storage file ""mSystems_guidelines"" (p. 14) (https://osf.io/hywxm/), which refers to papers link 1, link 2 and link 3",Life sciences
MM/TH,Advanced Energy Materials,TRUE,TRUE,CONSORT; REMARK; ARRIVE; BRISQ,"consort, remark, arrive, brisq",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,205,5,21.875,MATERIALS SCIENCE,https://onlinelibrary.wiley.com/journal/16146840,https://onlinelibrary.wiley.com/page/journal/16146840/homepage/2528_authorresources.html,https://perma.cc/VXP2-346N,"See OSF Storage file ""AEM_checklist"" (https://osf.io/4u6pr/), which refers to CONSORT. This file looks like general guidelines, but was specifically found through the Author Resources for Advanced Energy Materials (see link; ""Manuscript Preparation Checklist"") and is not generally referred to by all Wiley journals",Physical sciences
MM/TH,CHEMISTRY OF MATERIALS,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,76,3,9.89,MATERIALS SCIENCE,https://pubs.acs.org/journal/cmatex,https://publish.acs.org/publish/author_guidelines?coden=cmatex,https://perma.cc/AS9J-BHTD,"Possibly in the section ""Data Requirements""",Physical sciences
MM/TH,Eurosurveillance,TRUE,TRUE,CONSORT; CHEERS,"consort, cheers",TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Data should be analysed by age and sex, when relevant.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,995,13,7.127,IMMUNOLOGY,https://www.eurosurveillance.org,https://www.eurosurveillance.org/for-authors,https://perma.cc/RZB7-MSTS,"This page refers to external guidelines, see under ""Regular articles""",Health sciences
MM/TH,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,TRUE,TRUE,"ARRIVE, CONSORT","arrive, consort",TRUE,TRUE,TRUE,"Every P value should be reported using two digits after the decimal point. If each of the first two digits after the decimal point is zero, then a third digit can be used. If each of the first three digits after the decimal point is zero, then simply report P < .001...If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is >0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS)...P values alone are not sufficient to report the results of statistical tests.",TRUE,"If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is >0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).",FALSE,NA,TRUE,"[Report] How sample size was determined and, when applicable, explanation of any interim analyses and stopping rules ... [Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",TRUE,"If the distribution for a continuous variable is approximately normally distributed, then report either [-] the sample mean and the sample standard deviation or [-] the sample mean and the 95% confidence interval for the population mean...The JACI'S readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons...[Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",TRUE,"P values alone are not sufficient to report the results of statistical tests. The JACI'S readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons...[Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",TRUE,"Address multiplicity by reporting any other analyses performed, including subgroup analyses and adjusted analyses, indicated those pre-specified and those exploratory.",TRUE,"Address multiplicity by reporting any other analyses performed, including subgroup analyses and adjusted analyses, indicated those pre-specified and those exploratory...[Report] statistical methods used to compare groups for primary outcome(s); methods for additional analyses, such as subgroup analyses and adjusted analyses",TRUE,"Statistical tests, along with reported P values, for comparing groups at baseline are not necessary unless there is a strong reason to include them.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"[Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval)...[Report] statistical methods used to compare groups for primary outcome(s); methods for additional analyses, such as subgroup analyses and adjusted analyses",TRUE,"Address multiplicity by reporting any other analyses performed, including subgroup analyses and adjusted analyses, indicated those pre-specified and those exploratory.",FALSE,NA,FALSE,NA,95,1,13.258,IMMUNOLOGY,https://www.jacionline.org,https://www.jacionline.org/content/authorinfo,https://perma.cc/H7HR-D99E,"See under ""Special instructions regarding statistical analyses and reporting"" (you may need to use Screenshot View in Perma)",Health sciences
MSH/TH,CIRCULATION,TRUE,TRUE,CONSORT; STROBE; PRISMA; MOOSE; STARD; MIAME; NIH principles and guidelines for reporting preclinical research,"consort, strobe, prisma, moose, stard, miame, nih principles and guidelines for reporting preclinical research",TRUE,FALSE,TRUE,Report Hardy-Weinberg statistics or p-values and method of calculating same.,FALSE,NA,FALSE,NA,TRUE,"studies should meet some or all of the criteria below...The sample size is adequate to detect a SNP or haplotype with a modest effect. For genotype-trait associations, provide an estimate of the effect size that could be detected with power 0.80 or higher with the allele frequency and sample size reported.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Non-essential secondary models may be published as electronic data supplements. Clinically relevant confounders should be included in multivariable models or residuals.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Since multiple statistical testing methods are frequently used in genotyping-phenotyping studies, please include specifics of the primary model(s) tested. Non-essential secondary models may be published as electronic data supplements.",FALSE,NA,FALSE,NA,FALSE,NA,523,6,18.881,CLINICAL MEDICINE,https://ahajournals.org/journal/circ,https://ahajournals.org/research-guidelines,https://perma.cc/4NYM-KTT3,This page refers to external guidelines,Health sciences
MSH/TH,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,TRUE,TRUE,"""Design and Analysis Transparency: Authors should follow field standards for disclosing key aspects of research design and data analysis, and should report the standards used in their study. See the Equator Network for information about standards across disciplines."";  International Union of Crystallography (IUCr) Guidelines; Standards for Reporting Enzymology Data (STRENDA) Guidelines","equator, iucr, strenda",TRUE,TRUE,TRUE,"In statistics section, no explicit mention of p-values but ""measures of evidence strength"": ""full information on the statistical methods and measures used for each table and figure, such as a statistical test, estimates of parameters, exact sample sizes, and measures of evidence strength (frequentist or Bayesian)""

In figure legends section: ""The P value, magnification, or scale bar information should be provided when applicable""",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,PNAS encourages authors to preregister their studies and analysis plans and to provide links to the preregistration in their submission.,FALSE,NA,FALSE,NA,284,6,9.504,Multidisciplinary,https://www.pnas.org,NA,NA,"See OSF Storage file ""PNAS_guidelines"" (https://osf.io/c9y58/), under ""Design and Analysis Transparency"" and ""Statistical Analysis""",Multidisciplinary
MSH/TH,BIOLOGICAL PSYCHIATRY,TRUE,TRUE,ICMJE; CONSORT; PRISMA; MOOSE; STARD; ARRIVE; MIBBI; refers to list on EQUATORstat,"icmje, consort, prisma, moose, stard, arrive, mibbi, equator",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,397,6,11.984,NEUROSCIENCE & BEHAVIOR,https://www.biologicalpsychiatryjournal.com,NA,NA,"OSF Storage file ""BPS_Guide_for_Authors"" (https://osf.io/h469n/) refers to external guidelines, see under ""Research and Data Reporting Guidelines""",Life sciences
MSH/TH,Therapeutic Advances in Chronic Disease,TRUE,TRUE,EQUATOR list; NLM’s Research Reporting Guidelines and Initiatives list (https://www.nlm.nih.gov/services/research_report_guide.html); PRISMA; CONSORT,"equator, nlm research reporting guidelines and initiatives (https://www.nlm.nih.gov/services/research_report_guide.html), prisma, consort",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,519,6,4.9,PHARMACOLOGY & TOXICOLOGY,https://journals.sagepub.com/home/taj,https://journals.sagepub.com/author-instructions/TAJ,https://perma.cc/26F7-3QFS,"This page refers to external guidelines, see under ""4.8 Reporting guidelines""",Health sciences
MSH/TH,JOURNAL OF EXPERIMENTAL BOTANY,TRUE,TRUE,"MIQE guidelines: may count as statistical guidance since it mentions ""Statistical methods for results significance"" https://doi.org/10.1373/clinchem.2008.112797",miqe,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,128,6,5.354,PLANT & ANIMAL SCIENCE,https://academic.oup.com/jxb,https://academic.oup.com/jxb/pages/General_Instructions,https://perma.cc/6K8A-4GPW,"Unsure whether this counts, but this page refers to external guideline MIQE, see under ""Further editorial guidance""",Life sciences
